Player Name,Role,Base Price
Avesh Khan,Fast Bowlers,1C
Tushar Deshpande,Fast Bowlers,1C
AK47,Fast Bowlers,1C
Prince Yadav,Fast Bowlers,1C
Mayank Yadav,Fast Bowlers,1C
Mohsin Khan,Fast Bowlers,1C
Yash Dayal,Fast Bowlers,1C
Akash Deep,Fast Bowlers,1C
Jaydev Unadkat,Fast Bowlers,1C
Harshal Patel,Fast Bowlers,1C
Navdeep Saini,Fast Bowlers,1C
Alzarri Joseph,Fast Bowlers,1C
Eshan Malinga,Fast Bowlers,1C
Kyle Jamieson,Fast Bowlers,1C
Jacob Duffy,Fast Bowlers,1C
Corbin Bosch,Fast Bowlers,1C
Blessing Muzarabani,Fast Bowlers,1C
Gerald Coetzee,Fast Bowlers,1C
Chris Woakes,Fast Bowlers,1C
Naveen-ul-Haq,Fast Bowlers,1C
Mukesh Choudhary,Fast Bowlers,1C
Arjun Tendulkar,Fast Bowlers,50L
Kamalesh Nagarkoti,Fast Bowlers,50L
Chetan Sakariya,Fast Bowlers,50L
Vyshak Vijaykumar,Fast Bowlers,50L
Gurnjapneet Singh,Fast Bowlers,50L
Shivam Mavi,Fast Bowlers,50L
Karthik Tyagi,Fast Bowlers,50L
Akash Singh,Fast Bowlers,50L
Akash Madhwal,Fast Bowlers,50L
Sandeep Warrior,Fast Bowlers,50L
Siddharth Kaul,Fast Bowlers,50L
Vaibhav Arora,Fast Bowlers,50L
Yash Thakur,Fast Bowlers,50L
Ashwani Kumar,Fast Bowlers,50L
Shamar Joseph,Fast Bowlers,50L
Kwena Mapaka,Fast Bowlers,50L

# --- SPINNERS ---
Ravi Bishnoi,Spinners,2C
Rashid Khan,Spinners,2C
Noor Ahmad,Spinners,2C
Varun Chakravarthy,Spinners,2C
Yuzi Chahal,Spinners,2C
Kuldeep Yadav,Spinners,2C
Rahul Chahar,Spinners,1.5C
Maheesh Theekshana,Spinners,1.5C
Wanindu Hasaranga,Spinners,1.5C
Harpreet Brar,Spinners,1C
Suyash Sharma,Spinners,1C
Digvesh Rathi,Spinners,1C
Akil Hossein,Spinners,1C
Piyush Chawla,Spinners,1C
Sai Kishore,Spinners,1C
Adam Zampa,Spinners,1C
Kamindu Mendis,Spinners,1C
Vignesh Puthur,Spinners,50L
Karn Sharma,Spinners,50L
Shreyas Gopal,Spinners,50L
Mayank Markande,Spinners,50L
Mujeeb-ur-Rahman,Spinners,50L
Swapnil Singh,Spinners,50L
Allah Ghazanfar,Spinners,50L
Zeeshan Ansari,Spinners,50L
M. Siddharth,Spinners,50L
